Line,Sample,Lat,Lon,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   0,   0.00000000,   0.00000000,   0,0,0,    0.00, 75975911.000,210615.9110,   52.3, 6.73259e+003, 1.63521e+003, 7.83516e+003, 1.47725e+003, 8.59663e+003, 2.11435e+003, 9.93826e+003, 5.11827e+003, 1.47256e+004, 1.04292e+004, 2.07743e+004
 0,   1,   0.00000000,   0.00000000,   0,0,0,    0.00, 75976011.000,210616.0110,   52.0, 6.82878e+003, 1.72074e+003, 7.82535e+003, 1.47415e+003, 8.68968e+003, 2.15682e+003, 1.00944e+004, 5.12238e+003, 1.48525e+004, 1.04688e+004, 2.09429e+004
 0,   2,   0.00000000,   0.00000000,   0,0,0,    0.00, 75976111.000,210616.1110,   51.9, 6.78775e+003, 1.81345e+003, 7.96266e+003, 1.47726e+003, 8.72274e+003, 2.08568e+003, 1.02350e+004, 4.96206e+003, 1.48509e+004, 1.07424e+004, 2.10808e+004
 0,   3,  39.75151967,-105.22103739,   0,0,1, 1760.95, 75976211.000,210616.2110,   51.7, 6.78985e+003, 1.81776e+003, 7.98693e+003, 1.54413e+003, 8.77905e+003, 2.24946e+003, 1.02681e+004, 4.99463e+003, 1.50422e+004, 1.07259e+004, 2.13319e+004
 0,   4,  39.75151963,-105.22103740,   0,0,1, 1760.96, 75976311.000,210616.3110,   52.1, 6.83244e+003, 1.73301e+003, 8.02175e+003, 1.47383e+003, 8.77890e+003, 2.21190e+003, 1.03030e+004, 5.11245e+003, 1.52522e+004, 1.05024e+004, 2.10336e+004
 0,   5,  39.75151960,-105.22103741,   0,0,1, 1760.96, 75976411.000,210616.4110,   51.2, 6.86213e+003, 1.69612e+003, 8.02676e+003, 1.38415e+003, 8.69879e+003, 2.23693e+003, 1.02068e+004, 5.12430e+003, 1.51309e+004, 1.05478e+004, 2.09893e+004
 0,   6,  39.75151956,-105.22103743,   0,0,1, 1760.97, 75976511.000,210616.5110,   50.4, 6.85051e+003, 1.76447e+003, 7.85224e+003, 1.45326e+003, 8.77028e+003, 2.21416e+003, 1.01010e+004, 5.13798e+003, 1.50382e+004, 1.08682e+004, 2.14381e+004
 0,   7,  39.75151953,-105.22103744,   0,0,1, 1760.98, 75976611.000,210616.6110,   51.6, 6.78963e+003, 1.77955e+003, 7.81807e+003, 1.57631e+003, 8.63916e+003, 2.12712e+003, 1.01209e+004, 5.03701e+003, 1.50711e+004, 1.07223e+004, 2.12423e+004
 0,   8,  39.75151949,-105.22103745,   0,0,1, 1760.98, 75976711.000,210616.7110,   52.1, 6.76057e+003, 1.79709e+003, 7.89972e+003, 1.84467e+003, 8.75198e+003, 2.24734e+003, 1.02752e+004, 5.02381e+003, 1.50958e+004, 1.05400e+004, 2.14529e+004
 0,   9,  39.75151945,-105.22103746,   0,0,1, 1760.99, 75976811.000,210616.8110,   52.1, 6.74657e+003, 1.67503e+003, 7.88460e+003, 1.83580e+003, 8.78704e+003, 2.27814e+003, 1.03358e+004, 5.10989e+003, 1.49886e+004, 1.05965e+004, 2.14953e+004
 0,  10,  39.75151942,-105.22103747,   0,0,1, 1761.00, 75976911.000,210616.9110,   52.7, 6.81402e+003, 1.60823e+003, 7.81523e+003, 1.61509e+003, 8.76460e+003, 2.34180e+003, 1.03111e+004, 5.09313e+003, 1.48643e+004, 1.06344e+004, 2.12927e+004
 0,  11,  39.75151938,-105.22103749,   0,0,1, 1761.00, 75977011.000,210617.0110,   52.3, 6.79289e+003, 1.66400e+003, 7.85562e+003, 1.51701e+003, 8.76346e+003, 2.28876e+003, 1.03716e+004, 5.05089e+003, 1.49355e+004, 1.06228e+004, 2.11434e+004
 0,  12,  39.75151935,-105.22103750,   0,0,1, 1761.01, 75977111.000,210617.1110,   53.2, 6.67783e+003, 1.74904e+003, 7.86816e+003, 1.59537e+003, 8.59623e+003, 2.28961e+003, 1.03003e+004, 5.04256e+003, 1.50967e+004, 1.06148e+004, 2.12913e+004
 0,  13,  39.75151931,-105.22103751,   0,0,1, 1761.01, 75977211.000,210617.2110,   52.7, 6.74572e+003, 1.77484e+003, 7.91359e+003, 1.69862e+003, 8.72748e+003, 2.27676e+003, 1.02087e+004, 5.08896e+003, 1.50360e+004, 1.06520e+004, 2.14912e+004
 0,  14,  39.75151928,-105.22103753,   0,0,1, 1761.02, 75977311.000,210617.3110,   53.3, 6.75389e+003, 1.74806e+003, 7.94193e+003, 1.66232e+003, 8.55472e+003, 2.13853e+003, 1.01891e+004, 5.09540e+003, 1.48639e+004, 1.06679e+004, 2.13122e+004
 0,  15,  39.75151925,-105.22103755,   0,0,1, 1761.03, 75977411.000,210617.4110,   54.0, 6.73803e+003, 1.78299e+003, 7.82209e+003, 1.60759e+003, 8.64735e+003, 2.19406e+003, 1.02545e+004, 5.08137e+003, 1.48206e+004, 1.07666e+004, 2.14326e+004
 0,  16,  39.75151922,-105.22103757,   0,0,1, 1761.04, 75977511.000,210617.5110,   53.0, 6.80685e+003, 1.74361e+003, 7.77712e+003, 1.60303e+003, 8.73978e+003, 2.15005e+003, 1.03234e+004, 5.04325e+003, 1.49180e+004, 1.07438e+004, 2.12838e+004
 0,  17,  39.75151920,-105.22103759,   0,0,1, 1761.04, 75977611.000,210617.6110,   53.6, 6.79239e+003, 1.76219e+003, 7.80915e+003, 1.61563e+003, 8.65941e+003, 2.26175e+003, 1.02585e+004, 5.06989e+003, 1.49738e+004, 1.06700e+004, 2.13795e+004
 0,  18,  39.75151917,-105.22103761,   0,0,1, 1761.05, 75977711.000,210617.7110,   51.8, 6.73700e+003, 1.80464e+003, 7.88585e+003, 1.74766e+003, 8.80935e+003, 2.19537e+003, 1.01810e+004, 5.17129e+003, 1.49138e+004, 1.06098e+004, 2.15288e+004
 0,  19,  39.75151914,-105.22103763,   0,0,1, 1761.06, 75977811.000,210617.8110,   52.6, 6.72664e+003, 1.80095e+003, 7.90879e+003, 1.71508e+003, 8.71040e+003, 2.01838e+003, 1.01966e+004, 5.15181e+003, 1.48920e+004, 1.06249e+004, 2.13111e+004
 0,  20,  39.75151911,-105.22103765,   0,0,1, 1761.07, 75977911.000,210617.9110,   52.3, 6.74908e+003, 1.75000e+003, 7.83730e+003, 1.64290e+003, 8.88644e+003, 2.07114e+003, 1.02489e+004, 5.08803e+003, 1.49320e+004, 1.06616e+004, 2.12137e+004
 0,  21,  39.75151908,-105.22103767,   0,0,1, 1761.07, 75978011.000,210618.0110,   53.1, 6.74791e+003, 1.68025e+003, 7.80033e+003, 1.64576e+003, 8.76618e+003, 2.05500e+003, 1.02457e+004, 5.09378e+003, 1.48005e+004, 1.06052e+004, 2.10800e+004
