		Line,		Start Positions (m),		End Positions (m),		Length (m),		Frequency (MHz),		Time Window (ns),		Collection Date,		GPS Start Lat,		GPS Start Long,		GPS End Lat,		GPS End Long
Line3-ch1,0.500,18.100,17.600,100.000,150.000,2025-Feb-14,-105.22114267883,39.75131572352,-105.22114052856,39.75146374291,
Line 2-ch1,0.500,16.200,15.700,100.000,150.000,2025-Feb-14,-105.22116941441,39.75131602688,-105.22116371228,39.75146694064,
Line 4-ch1,0.500,16.500,16.000,100.000,150.000,2025-Feb-14,-105.22110102564,39.75131771594,-105.22111031230,39.75146394677,
Line D-ch1,0.500,14.500,14.000,100.000,150.000,2025-Feb-14,-105.22122555275,39.75137939326,-105.22103831644,39.75138582374,
Line E-ch1,0.500,13.800,13.300,100.000,150.000,2025-Feb-14,-105.22121603909,39.75140381522,-105.22103569682,39.75140683677,
