Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1A,,,,,,-105.22120357,39.75132505,1743.766,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 14:03:14.8 UTC-07:00,2025-02-14 14:03:14.8 UTC-07:00,1,1.6,1.9,,,,-105.22127674,39.75130883,1745.738,6.526,,Global CS,9,8,5,5,0
1G,,,,,,-105.22120961,39.75144597,1743.278,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 14:03:38.0 UTC-07:00,2025-02-14 14:03:38.0 UTC-07:00,1,1.4,1.6,,,,-105.22127674,39.75130883,1745.738,16.290,,Global CS,9,8,6,5,0
5G,,,,,,-105.22107770,39.75144420,1743.190,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 14:03:59.0 UTC-07:00,2025-02-14 14:03:59.0 UTC-07:00,1,1.4,1.6,,,,-105.22127674,39.75130883,1745.738,22.749,,Global CS,9,7,5,5,0
5A,,,,,,-105.22105869,39.75132503,1743.665,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 14:04:31.0 UTC-07:00,2025-02-14 14:04:31.0 UTC-07:00,1,1.7,2.0,,,,-105.22127674,39.75130883,1745.738,18.779,,Global CS,9,7,5,5,0
