Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,,,,,-105.22188159,39.75107353,1745.244,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:55:53.2 UTC-07:00,2025-02-14 13:55:53.2 UTC-07:00,1,1.6,1.9,,,,-105.22127674,39.75130883,1745.738,58.082,,Global CS,10,8,7,5,0
2,,,,,,-105.22190505,39.75109808,1745.165,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,2025-02-14 13:56:49.6 UTC-07:00,2025-02-14 13:56:49.6 UTC-07:00,1,1.6,1.9,,,,-105.22127674,39.75130883,1745.738,58.744,,Global CS,9,6,5,5,0
3,,,,,,-105.22191387,39.75110749,1745.150,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:57:03.8 UTC-07:00,2025-02-14 13:57:03.8 UTC-07:00,1,1.4,1.7,,,,-105.22127674,39.75130883,1745.738,59.035,,Global CS,9,6,6,5,0
4,,,,,,-105.22185105,39.75113001,1745.041,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:57:39.6 UTC-07:00,2025-02-14 13:57:39.6 UTC-07:00,1,1.5,1.8,,,,-105.22127674,39.75130883,1745.738,53.103,,Global CS,9,7,7,5,0
5,,,,,,-105.22182999,39.75113976,1745.011,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:57:55.8 UTC-07:00,2025-02-14 13:57:55.8 UTC-07:00,1,1.4,1.7,,,,-105.22127674,39.75130883,1745.738,51.024,,Global CS,9,7,6,5,0
6,,,,,,-105.22187300,39.75115313,1744.923,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:58:22.8 UTC-07:00,2025-02-14 13:58:22.8 UTC-07:00,1,1.4,1.7,,,,-105.22127674,39.75130883,1745.738,53.973,,Global CS,9,7,6,5,0
