Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
S1,,,,,,-105.22182040,39.75105734,1745.331,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,2025-02-14 13:47:53.6 UTC-07:00,2025-02-14 13:47:53.6 UTC-07:00,1,1.6,1.9,,,,-105.22127674,39.75130883,1745.738,54.357,,Global CS,8,5,8,5,0
S22,,,,,,-105.22194580,39.75107212,1745.209,Global,0.010,0.010,0.018,0.014,1.934,m,FIX,2025-02-14 13:48:37.2 UTC-07:00,2025-02-14 13:48:37.2 UTC-07:00,1,1.6,1.9,,,,-105.22127674,39.75130883,1745.738,63.109,,Global CS,8,5,7,5,0
N22,,,,,,-105.22193588,39.75116737,1744.881,Global,0.010,0.010,0.020,0.014,1.934,m,FIX,2025-02-14 13:49:20.6 UTC-07:00,2025-02-14 13:49:20.6 UTC-07:00,1,1.7,2.1,,,,-105.22127674,39.75130883,1745.738,58.659,,Global CS,9,5,8,5,0
N1,,,,,,-105.22180832,39.75115865,1744.913,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,2025-02-14 13:49:51.2 UTC-07:00,2025-02-14 13:49:51.2 UTC-07:00,1,1.7,2.1,,,,-105.22127674,39.75130883,1745.738,48.540,,Global CS,7,6,8,5,0
